Center,Left,Right,Steering,Throttle,Brake,Speed
F:\Car_data\IMG\center_2020_02_10_23_26_38_138.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_38_138.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_38_138.jpg,0,1,0,15.97304
F:\Car_data\IMG\center_2020_02_10_23_26_38_206.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_38_206.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_38_206.jpg,0,1,0,16.37173
F:\Car_data\IMG\center_2020_02_10_23_26_38_277.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_38_277.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_38_277.jpg,-0.2,1,0,17.21761
F:\Car_data\IMG\center_2020_02_10_23_26_38_344.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_38_344.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_38_344.jpg,-0.35,1,0,18.00418
F:\Car_data\IMG\center_2020_02_10_23_26_38_414.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_38_414.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_38_414.jpg,-0.5500001,1,0,18.70986
F:\Car_data\IMG\center_2020_02_10_23_26_38_484.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_38_484.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_38_484.jpg,0,1,0,19.09618
F:\Car_data\IMG\center_2020_02_10_23_26_38_552.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_38_552.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_38_552.jpg,0,1,0,19.88824
F:\Car_data\IMG\center_2020_02_10_23_26_38_618.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_38_618.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_38_618.jpg,0,1,0,20.56455
F:\Car_data\IMG\center_2020_02_10_23_26_38_689.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_38_689.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_38_689.jpg,0,1,0,21.09547
F:\Car_data\IMG\center_2020_02_10_23_26_38_758.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_38_758.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_38_758.jpg,-0.05,1,0,21.90421
F:\Car_data\IMG\center_2020_02_10_23_26_38_827.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_38_827.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_38_827.jpg,-0.2,1,0,22.51959
F:\Car_data\IMG\center_2020_02_10_23_26_38_895.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_38_895.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_38_895.jpg,-0.4,1,0,23.22571
F:\Car_data\IMG\center_2020_02_10_23_26_38_968.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_38_968.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_38_968.jpg,-0.5500001,1,0,23.69821
F:\Car_data\IMG\center_2020_02_10_23_26_39_037.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_39_037.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_39_037.jpg,0,1,0,24.39545
F:\Car_data\IMG\center_2020_02_10_23_26_39_113.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_39_113.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_39_113.jpg,0,1,0,25.1525
F:\Car_data\IMG\center_2020_02_10_23_26_39_181.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_39_181.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_39_181.jpg,0,1,0,25.72411
F:\Car_data\IMG\center_2020_02_10_23_26_39_251.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_39_251.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_39_251.jpg,-0.2,1,0,26.4742
F:\Car_data\IMG\center_2020_02_10_23_26_39_318.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_39_318.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_39_318.jpg,0,1,0,27.02652
F:\Car_data\IMG\center_2020_02_10_23_26_39_385.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_39_385.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_39_385.jpg,0,1,0,27.58766
F:\Car_data\IMG\center_2020_02_10_23_26_39_457.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_39_457.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_39_457.jpg,-0.2,1,0,28.321
F:\Car_data\IMG\center_2020_02_10_23_26_39_527.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_39_527.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_39_527.jpg,-0.35,1,0,28.82425
F:\Car_data\IMG\center_2020_02_10_23_26_39_597.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_39_597.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_39_597.jpg,-0.5500001,1,0,29.41054
F:\Car_data\IMG\center_2020_02_10_23_26_39_666.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_39_666.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_39_666.jpg,0,1,0,29.93267
F:\Car_data\IMG\center_2020_02_10_23_26_39_740.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_39_740.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_39_740.jpg,-0.05,1,0,30.18993
F:\Car_data\IMG\center_2020_02_10_23_26_39_807.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_39_807.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_39_807.jpg,-0.2,1,0,30.18558
F:\Car_data\IMG\center_2020_02_10_23_26_39_876.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_39_876.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_39_876.jpg,0,1,0,30.18902
F:\Car_data\IMG\center_2020_02_10_23_26_39_948.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_39_948.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_39_948.jpg,0,1,0,30.18971
F:\Car_data\IMG\center_2020_02_10_23_26_40_019.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_40_019.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_40_019.jpg,-0.2,1,0,30.18342
F:\Car_data\IMG\center_2020_02_10_23_26_40_088.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_40_088.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_40_088.jpg,0,1,0,30.18576
F:\Car_data\IMG\center_2020_02_10_23_26_40_158.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_40_158.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_40_158.jpg,0,1,0,30.18982
F:\Car_data\IMG\center_2020_02_10_23_26_40_227.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_40_227.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_40_227.jpg,0,1,0,30.1902
F:\Car_data\IMG\center_2020_02_10_23_26_40_296.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_40_296.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_40_296.jpg,0,1,0,30.19026
F:\Car_data\IMG\center_2020_02_10_23_26_40_369.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_40_369.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_40_369.jpg,0,1,0,30.19024
F:\Car_data\IMG\center_2020_02_10_23_26_40_442.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_40_442.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_40_442.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_26_40_512.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_40_512.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_40_512.jpg,0,1,0,30.19031
F:\Car_data\IMG\center_2020_02_10_23_26_40_581.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_40_581.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_40_581.jpg,0,1,0,30.19044
F:\Car_data\IMG\center_2020_02_10_23_26_40_655.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_40_655.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_40_655.jpg,-0.15,1,0,30.18428
F:\Car_data\IMG\center_2020_02_10_23_26_40_723.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_40_723.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_40_723.jpg,-0.3,1,0,30.16926
F:\Car_data\IMG\center_2020_02_10_23_26_40_791.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_40_791.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_40_791.jpg,-0.5000001,1,0,30.14534
F:\Car_data\IMG\center_2020_02_10_23_26_40_860.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_40_860.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_40_860.jpg,0,1,0,30.18353
F:\Car_data\IMG\center_2020_02_10_23_26_40_929.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_40_929.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_40_929.jpg,0,1,0,30.1877
F:\Car_data\IMG\center_2020_02_10_23_26_41_000.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_41_000.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_41_000.jpg,0,1,0,30.18984
F:\Car_data\IMG\center_2020_02_10_23_26_41_072.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_41_072.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_41_072.jpg,0,1,0,30.19045
F:\Car_data\IMG\center_2020_02_10_23_26_41_144.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_41_144.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_41_144.jpg,0,1,0,30.19032
F:\Car_data\IMG\center_2020_02_10_23_26_41_217.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_41_217.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_41_217.jpg,-0.1,1,0,30.18822
F:\Car_data\IMG\center_2020_02_10_23_26_41_289.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_41_289.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_41_289.jpg,-0.25,1,0,30.1755
F:\Car_data\IMG\center_2020_02_10_23_26_41_363.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_41_363.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_41_363.jpg,0,1,0,30.1817
F:\Car_data\IMG\center_2020_02_10_23_26_41_436.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_41_436.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_41_436.jpg,0,1,0,30.18928
F:\Car_data\IMG\center_2020_02_10_23_26_41_512.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_41_512.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_41_512.jpg,0,1,0,30.19012
F:\Car_data\IMG\center_2020_02_10_23_26_41_580.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_41_580.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_41_580.jpg,0,1,0,30.19025
F:\Car_data\IMG\center_2020_02_10_23_26_41_651.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_41_651.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_41_651.jpg,-0.15,1,0,30.18526
F:\Car_data\IMG\center_2020_02_10_23_26_41_717.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_41_717.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_41_717.jpg,-0.3,1,0,30.1704
F:\Car_data\IMG\center_2020_02_10_23_26_41_787.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_41_787.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_41_787.jpg,-0.45,1,0,30.15236
F:\Car_data\IMG\center_2020_02_10_23_26_41_855.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_41_855.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_41_855.jpg,0,1,0,30.18838
F:\Car_data\IMG\center_2020_02_10_23_26_41_923.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_41_923.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_41_923.jpg,0,1,0,30.18939
F:\Car_data\IMG\center_2020_02_10_23_26_41_991.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_41_991.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_41_991.jpg,0,1,0,30.19021
F:\Car_data\IMG\center_2020_02_10_23_26_42_165.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_42_165.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_42_165.jpg,0,1,0,30.19037
F:\Car_data\IMG\center_2020_02_10_23_26_42_232.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_42_232.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_42_232.jpg,0,1,0,30.19032
F:\Car_data\IMG\center_2020_02_10_23_26_42_299.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_42_299.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_42_299.jpg,0,1,0,30.19031
F:\Car_data\IMG\center_2020_02_10_23_26_42_368.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_42_368.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_42_368.jpg,0,1,0,30.19032
F:\Car_data\IMG\center_2020_02_10_23_26_42_437.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_42_437.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_42_437.jpg,0,1,0,30.19031
F:\Car_data\IMG\center_2020_02_10_23_26_42_505.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_42_505.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_42_505.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_26_42_575.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_42_575.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_42_575.jpg,-0.1,1,0,30.18764
F:\Car_data\IMG\center_2020_02_10_23_26_42_647.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_42_647.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_42_647.jpg,-0.25,1,0,30.17473
F:\Car_data\IMG\center_2020_02_10_23_26_42_716.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_42_716.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_42_716.jpg,-0.45,1,0,30.15143
F:\Car_data\IMG\center_2020_02_10_23_26_42_785.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_42_785.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_42_785.jpg,0,1,0,30.18613
F:\Car_data\IMG\center_2020_02_10_23_26_42_853.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_42_853.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_42_853.jpg,0,1,0,30.18902
F:\Car_data\IMG\center_2020_02_10_23_26_42_922.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_42_922.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_42_922.jpg,0,1,0,30.18993
F:\Car_data\IMG\center_2020_02_10_23_26_42_990.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_42_990.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_42_990.jpg,0,1,0,30.19023
F:\Car_data\IMG\center_2020_02_10_23_26_43_057.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_43_057.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_43_057.jpg,0,1,0,30.19028
F:\Car_data\IMG\center_2020_02_10_23_26_43_127.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_43_127.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_43_127.jpg,0,1,0,30.19033
F:\Car_data\IMG\center_2020_02_10_23_26_43_198.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_43_198.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_43_198.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_26_43_267.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_43_267.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_43_267.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_26_43_341.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_43_341.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_43_341.jpg,0,1,0,30.19033
F:\Car_data\IMG\center_2020_02_10_23_26_43_415.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_43_415.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_43_415.jpg,-0.05,1,0,30.18968
F:\Car_data\IMG\center_2020_02_10_23_26_43_488.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_43_488.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_43_488.jpg,-0.2,1,0,30.17983
F:\Car_data\IMG\center_2020_02_10_23_26_43_556.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_43_556.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_43_556.jpg,0,1,0,30.183
F:\Car_data\IMG\center_2020_02_10_23_26_43_624.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_43_624.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_43_624.jpg,0,1,0,30.18953
F:\Car_data\IMG\center_2020_02_10_23_26_43_694.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_43_694.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_43_694.jpg,0,1,0,30.19032
F:\Car_data\IMG\center_2020_02_10_23_26_43_769.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_43_769.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_43_769.jpg,0,1,0,30.19019
F:\Car_data\IMG\center_2020_02_10_23_26_43_840.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_43_840.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_43_840.jpg,-0.15,1,0,30.1853
F:\Car_data\IMG\center_2020_02_10_23_26_43_911.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_43_911.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_43_911.jpg,-0.35,1,0,30.16431
F:\Car_data\IMG\center_2020_02_10_23_26_43_983.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_43_983.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_43_983.jpg,0,1,0,30.1797
F:\Car_data\IMG\center_2020_02_10_23_26_44_052.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_44_052.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_44_052.jpg,0,1,0,30.1888
F:\Car_data\IMG\center_2020_02_10_23_26_44_126.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_44_126.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_44_126.jpg,0,1,0,30.18991
F:\Car_data\IMG\center_2020_02_10_23_26_44_198.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_44_198.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_44_198.jpg,0,1,0,30.19023
F:\Car_data\IMG\center_2020_02_10_23_26_44_272.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_44_272.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_44_272.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_26_44_342.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_44_342.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_44_342.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_26_44_411.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_44_411.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_44_411.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_26_44_480.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_44_480.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_44_480.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_26_44_547.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_44_547.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_44_547.jpg,0,1,0,30.19031
F:\Car_data\IMG\center_2020_02_10_23_26_44_624.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_44_624.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_44_624.jpg,-0.1,1,0,30.18766
F:\Car_data\IMG\center_2020_02_10_23_26_44_698.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_44_698.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_44_698.jpg,-0.3,1,0,30.1693
